epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1765,3.07798,2.04376,1.22236,0.34103,0.26129,0.2911,0.13179,2.50347,1.33092,1.04689,0.000473464,0.000473464,0.000473464
2,34.9751,2.27513,1.11313,0.99576,0.44131,0.29224,0.35848,0.16439,2.24363,1.04554,1.02043,0.000923678,0.000923678,0.000923678
3,51.2782,2.04468,0.98115,0.94838,0.80527,0.32884,0.44903,0.23649,1.97899,0.90478,0.97206,0.00134769,0.00134769,0.00134769
4,67.6834,1.93132,0.9165,0.92946,0.82788,0.34391,0.44342,0.23662,1.83091,0.84163,0.95665,0.00131111,0.00131111,0.00131111
5,83.9359,1.82116,0.86753,0.91197,0.82874,0.33732,0.44648,0.22348,1.9338,0.86386,0.95781,0.00127181,0.00127181,0.00127181
6,100.02,1.73572,0.8258,0.89378,0.65644,0.41007,0.4854,0.27028,1.68278,0.76423,0.91494,0.00123251,0.00123251,0.00123251
7,116.313,1.72521,0.80627,0.88934,0.58848,0.42448,0.49746,0.28594,1.62096,0.74192,0.90568,0.00119322,0.00119322,0.00119322
8,132.477,1.63337,0.77241,0.87874,0.60518,0.43078,0.49919,0.28493,1.62451,0.71965,0.91766,0.00115392,0.00115392,0.00115392
9,148.799,1.59547,0.75186,0.87161,0.62477,0.41784,0.5121,0.28244,1.64935,0.71853,0.92511,0.00111462,0.00111462,0.00111462
10,164.807,1.57383,0.7375,0.86461,0.62211,0.43144,0.50999,0.29739,1.55591,0.69165,0.90522,0.00107532,0.00107532,0.00107532
11,180.902,1.52601,0.72134,0.86213,0.65458,0.45534,0.54634,0.32583,1.44268,0.66266,0.89518,0.00103602,0.00103602,0.00103602
12,196.974,1.506,0.70999,0.86032,0.62742,0.46854,0.54207,0.31641,1.46415,0.66652,0.91351,0.000996727,0.000996727,0.000996727
13,212.961,1.49591,0.7009,0.85623,0.65516,0.47679,0.55106,0.32819,1.43513,0.65528,0.89013,0.00095743,0.00095743,0.00095743
14,228.908,1.45379,0.68908,0.85279,0.6553,0.48506,0.55249,0.32899,1.45226,0.65011,0.88934,0.000918132,0.000918132,0.000918132
15,244.907,1.43631,0.67688,0.84876,0.66455,0.47647,0.5523,0.33682,1.40077,0.63966,0.89338,0.000878835,0.000878835,0.000878835
16,260.838,1.43414,0.67606,0.84873,0.67892,0.48626,0.5741,0.34273,1.40396,0.62684,0.89499,0.000839537,0.000839537,0.000839537
17,276.84,1.41065,0.66635,0.8456,0.68436,0.4817,0.56804,0.34036,1.40344,0.63551,0.88434,0.00080024,0.00080024,0.00080024
18,292.814,1.38466,0.65652,0.8411,0.68072,0.50807,0.58496,0.35587,1.32498,0.60656,0.88268,0.000760942,0.000760942,0.000760942
19,309.001,1.36248,0.64743,0.83806,0.70652,0.5164,0.60203,0.36784,1.32927,0.60964,0.8829,0.000721645,0.000721645,0.000721645
20,325.15,1.35502,0.64274,0.83743,0.68825,0.51535,0.59017,0.35705,1.33284,0.60086,0.87704,0.000682347,0.000682347,0.000682347
21,341.506,1.33925,0.63821,0.83541,0.7195,0.52279,0.60378,0.37012,1.30073,0.59597,0.87283,0.00064305,0.00064305,0.00064305
22,357.784,1.32759,0.63086,0.83336,0.72111,0.52326,0.61881,0.37605,1.27879,0.59049,0.87484,0.000603752,0.000603752,0.000603752
23,374.183,1.31016,0.62526,0.83151,0.70889,0.51922,0.60854,0.3732,1.29211,0.59368,0.87028,0.000564455,0.000564455,0.000564455
24,390.134,1.30315,0.62309,0.8318,0.72995,0.52278,0.61987,0.3746,1.31927,0.59512,0.8792,0.000525158,0.000525158,0.000525158
25,406.2,1.30132,0.61841,0.83101,0.72445,0.53713,0.62514,0.38707,1.2728,0.58439,0.87485,0.00048586,0.00048586,0.00048586
26,422.747,1.28382,0.6144,0.82915,0.73111,0.53754,0.63078,0.39143,1.25473,0.57546,0.87237,0.000446563,0.000446563,0.000446563
27,438.495,1.28605,0.60662,0.8252,0.74258,0.54089,0.63389,0.38988,1.25089,0.5762,0.86913,0.000407265,0.000407265,0.000407265
28,452.43,1.25754,0.59498,0.82224,0.73362,0.54527,0.63232,0.3954,1.24346,0.56878,0.87355,0.000367967,0.000367967,0.000367967
29,466.311,1.24568,0.5892,0.82253,0.72678,0.53502,0.62539,0.39149,1.24088,0.57016,0.87348,0.00032867,0.00032867,0.00032867
30,480.101,1.23829,0.58508,0.82013,0.74027,0.55786,0.64654,0.40252,1.22435,0.56195,0.871,0.000289372,0.000289372,0.000289372
31,493.876,1.22625,0.58115,0.81935,0.7379,0.54049,0.63566,0.39583,1.23792,0.56621,0.8714,0.000250075,0.000250075,0.000250075
32,507.79,1.22039,0.57664,0.81943,0.73393,0.55666,0.64965,0.40691,1.20795,0.55746,0.86587,0.000210777,0.000210777,0.000210777
33,522.104,1.19959,0.56906,0.81497,0.73974,0.55406,0.65163,0.41203,1.19049,0.54923,0.86404,0.00017148,0.00017148,0.00017148
34,537.512,1.18907,0.56633,0.81568,0.74237,0.56186,0.65721,0.41397,1.18353,0.54415,0.86375,0.000132183,0.000132183,0.000132183
35,552.161,1.18133,0.56124,0.81482,0.74342,0.56546,0.65855,0.41745,1.18091,0.54316,0.86252,9.2885e-05,9.2885e-05,9.2885e-05
36,567.356,1.16802,0.55836,0.81319,0.74796,0.55983,0.65675,0.41776,1.17238,0.53985,0.86203,5.35875e-05,5.35875e-05,5.35875e-05
