epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.718,1.41731,1.134,0.93887,0.67373,0.59073,0.61381,0.3978,1.03466,0.70798,0.86192,0.00333166,0.00333166,0.00333166
2,220.637,1.242,0.76973,0.89466,0.71615,0.66075,0.68598,0.46322,0.96195,0.62179,0.84943,0.0064817,0.0064817,0.0064817
3,324.757,1.19258,0.69187,0.88518,0.84102,0.69165,0.74892,0.5143,0.92444,0.5673,0.84325,0.00944842,0.00944842,0.00944842
4,427.494,1.1035,0.62266,0.8743,0.83478,0.7148,0.76584,0.54384,0.85239,0.50503,0.83252,0.009175,0.009175,0.009175
5,530.57,1.01666,0.56744,0.86127,0.85165,0.7336,0.77867,0.56231,0.80014,0.4783,0.82399,0.0089,0.0089,0.0089
6,633.463,0.96281,0.53826,0.85413,0.8714,0.74892,0.79475,0.58227,0.75956,0.45148,0.81662,0.008625,0.008625,0.008625
7,736.388,0.92634,0.51675,0.84851,0.89308,0.74868,0.80379,0.60687,0.72196,0.42922,0.81184,0.00835,0.00835,0.00835
8,838.854,0.89801,0.49988,0.84439,0.88033,0.75875,0.80995,0.61153,0.71377,0.4231,0.81075,0.008075,0.008075,0.008075
9,941.53,0.87391,0.48712,0.84152,0.8909,0.76358,0.81187,0.61428,0.70358,0.41353,0.80822,0.0078,0.0078,0.0078
10,1043.7,0.85598,0.47785,0.8393,0.89141,0.76604,0.81563,0.62222,0.68222,0.39916,0.80586,0.007525,0.007525,0.007525
11,1146.41,0.83953,0.46756,0.83707,0.89821,0.76999,0.82347,0.63695,0.67241,0.39438,0.8047,0.00725,0.00725,0.00725
12,1248.93,0.8266,0.46106,0.83564,0.90666,0.76559,0.82529,0.64033,0.6684,0.39113,0.80391,0.006975,0.006975,0.006975
13,1351.48,0.81501,0.45477,0.83399,0.91062,0.76864,0.82593,0.64679,0.65127,0.38371,0.80145,0.0067,0.0067,0.0067
14,1454,0.80321,0.44836,0.83268,0.91403,0.77357,0.8339,0.65494,0.64389,0.37813,0.79998,0.006425,0.006425,0.006425
15,1555.87,0.79258,0.44339,0.83141,0.90258,0.78052,0.83376,0.6565,0.6381,0.37353,0.79932,0.00615,0.00615,0.00615
16,1658.21,0.78563,0.43865,0.83042,0.89975,0.78572,0.83674,0.65856,0.63354,0.37023,0.79843,0.005875,0.005875,0.005875
17,1760.86,0.77613,0.43269,0.82918,0.90655,0.77832,0.83612,0.66256,0.62653,0.36635,0.79741,0.0056,0.0056,0.0056
18,1863.85,0.76748,0.42852,0.82809,0.90854,0.78564,0.84061,0.66536,0.62232,0.36359,0.7969,0.005325,0.005325,0.005325
19,1966.91,0.75857,0.42352,0.82641,0.90318,0.78714,0.8407,0.6676,0.61924,0.36057,0.79598,0.00505,0.00505,0.00505
20,2069.42,0.75375,0.42059,0.82622,0.92224,0.78206,0.84238,0.67089,0.61465,0.35853,0.79538,0.004775,0.004775,0.004775
21,2173.56,0.74578,0.41635,0.8254,0.92169,0.77929,0.84251,0.67131,0.61207,0.35564,0.79515,0.0045,0.0045,0.0045
22,2276.86,0.74011,0.41419,0.82492,0.92073,0.78396,0.8443,0.67441,0.60874,0.35423,0.79467,0.004225,0.004225,0.004225
23,2378.99,0.7323,0.40932,0.82312,0.92391,0.78403,0.84543,0.6742,0.60596,0.35145,0.79418,0.00395,0.00395,0.00395
24,2482.64,0.72609,0.40573,0.82234,0.92637,0.78512,0.84573,0.67564,0.6036,0.34959,0.79372,0.003675,0.003675,0.003675
25,2585.17,0.72091,0.40305,0.82196,0.92332,0.78648,0.84582,0.67783,0.60109,0.34804,0.79328,0.0034,0.0034,0.0034
26,2687.55,0.71526,0.40055,0.8218,0.92428,0.78796,0.84655,0.67877,0.59888,0.34684,0.7929,0.003125,0.003125,0.003125
27,2784.03,0.66854,0.37182,0.81168,0.92402,0.79215,0.84896,0.68302,0.59539,0.34478,0.79233,0.00285,0.00285,0.00285
28,2880.26,0.65738,0.36551,0.81067,0.923,0.79395,0.85089,0.68536,0.59259,0.34264,0.79185,0.002575,0.002575,0.002575
29,2975.74,0.6495,0.36136,0.80948,0.92074,0.7958,0.85111,0.68627,0.58988,0.34078,0.79149,0.0023,0.0023,0.0023
30,3071.12,0.64139,0.35823,0.80828,0.92307,0.79577,0.85206,0.68865,0.58747,0.33921,0.79112,0.002025,0.002025,0.002025
31,3165.83,0.63442,0.3532,0.80722,0.924,0.79541,0.85294,0.68994,0.58551,0.33775,0.79079,0.00175,0.00175,0.00175
32,3260.57,0.62744,0.35091,0.80699,0.92464,0.79599,0.85331,0.69084,0.58354,0.33657,0.79049,0.001475,0.001475,0.001475
33,3355.29,0.6194,0.34554,0.80606,0.92375,0.79701,0.85381,0.69154,0.58205,0.33574,0.79022,0.0012,0.0012,0.0012
34,3450.87,0.61482,0.34269,0.80502,0.92336,0.79676,0.85369,0.69178,0.58046,0.33479,0.78996,0.000925,0.000925,0.000925
35,3545.51,0.60562,0.33799,0.80465,0.92344,0.79877,0.85437,0.69283,0.57943,0.33398,0.78976,0.00065,0.00065,0.00065
36,3640.79,0.60121,0.33686,0.80455,0.92162,0.80069,0.85441,0.6933,0.57835,0.33323,0.78958,0.000375,0.000375,0.000375
